api_num,other_id,latitude,longitude,stusps,county,municipality,well_name,operator,spud_date,plug_date,well_type,well_status,well_configuration,ft_category,wellwiki,src_url,ft_uid
47-049-00210,049-00210,"39.54374672349175","-80.20883543684813",WV,"049",,"JONES, D.R.",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-049-00210,,"4620278"
47-047-01975,047-01975,"37.348712709405866","-81.62412665093615",WV,"047",,"ALAWEST, INC.",CNX GAS COMPANY LLC,,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-047-01975,,"4620279"
47-073-01460,073-01460,"39.32743417290389","-81.24422143793561",WV,"073",,HACKATHORN,"BEALL, RUSSELL G",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-073-01460,,"4620280"
47-055-00398,055-00398,"37.450931968649904","-81.24586742271636",WV,"055",,POCAHONTAS LAND CORP.,CONSOL GAS COMPANY,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-055-00398,,"4620281"
47-007-00012,007-00012,"38.75736427507214","-80.79115689772667",WV,"007",,"BAKER, J.C. & SONS, INC.","EQUITRANS, L. P.",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-007-00012,,"4620282"
47-061-00879,061-00879,"39.61219383577339","-80.24394016294016",WV,"061",,"HAUGHT, BILLY C.","HG ENERGY, LLC",,,Gas Production,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-061-00879,,"4620283"
47-077-00489,077-00489,"39.67831147239386","-79.52224658736229",WV,"077",,"FIKE, D. L. & ANNA  ET AL",CHIEF OIL & GAS LLC,,,Unknown,Never Drilled,Horizontal,Not Drilled,https://wellwiki.org/wiki/47-077-00489,,"4620284"
47-085-03255,085-03255,"39.160146624507476","-80.98353052863209",WV,"085",,"MARSHALL, MAE",OPERATOR UNKNOWN,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-085-03255,,"4620285"
47-087-00123,087-00123,"38.737900124147274","-81.19018909751539",WV,"087",,"SLEATH, W. H.","EAST RESOURCES, INC.",,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-087-00123,,"4620286"
47-091-00773,091-00773,"39.33194345103442","-80.14738464700693",WV,"091",,"TALAGO, STANLEY","BOWIE, INC.",,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-091-00773,,"4620287"
47-107-00487,107-00487,"37.0462224768942","-81",WV,"107",,"ELLIOTT, J. E.",RIDGEDALE OIL & GAS CO.,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-107-00487,,"4620288"
47-057-00059,057-00059,"39.454809851228845","-79.04201146723413",WV,"057",,WESTVACO CORP.,"COLUMBIA NATURAL RESOURCES, LLC",,,Unknown,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-057-00059,,"4620289"
