api_num,other_id,latitude,longitude,stusps,county,municipality,well_name,operator,spud_date,plug_date,well_type,well_status,well_configuration,ft_category,wellwiki,src_url,ft_uid
47-001-02287,001-02287,"39.16499802050415","-79.96009899311794",WV,"001",,TYGART EAST CO.,ENERGY CORPORATION OF AMERICA,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-001-02287,,"4621436"
47-001-02301,001-02301,"38.96455153629817","-80.06059281736474",WV,"001",,"CARR, ROY & SHARON",ENERGY CORPORATION OF AMERICA,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-001-02301,,"4621437"
47-001-02306,001-02306,"39.17896423548555","-80.189579318006",WV,"001",,"COMPTON, WILLIAM","PEPPER DEVELOPMENT, LLC",,,Oil Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-02306,,"4621438"
47-001-02307,001-02307,"39.18279576343511","-80.19289052742747",WV,"001",,"COMPTON, WILLIAM","PEPPER DEVELOPMENT, LLC",,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-001-02307,,"4621439"
47-001-02308,001-02308,"38.96362973354507","-80.0392578061538",WV,"001",,"DURRETT, DEWEY",ENERGY CORPORATION OF AMERICA,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-001-02308,,"4621440"
47-001-02309,001-02309,"39.17072198308257","-79.98771022957479",WV,"001",,"MAYLE, HARTSEL",ENERGY CORPORATION OF AMERICA,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-001-02309,,"4621441"
47-001-02316,001-02316,"39.182882568121215","-80.18976588627822",WV,"001",,"COMPTON, WILLIAM","PEPPER DEVELOPMENT, LLC",,,Oil Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-02316,,"4621442"
47-001-02318,001-02318,"39.04935061542081","-80.06891009686237",WV,"001",,"HEWITT, DONALD",ENERGY CORPORATION OF AMERICA,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-001-02318,,"4621443"
47-001-02322,001-02322,"39.00704888445899","-80.00271827683821",WV,"001",,"SALESKY, EDWARD",ENERGY CORPORATION OF AMERICA,,,Unknown,Never Drilled,Vertical,Not Drilled,https://wellwiki.org/wiki/47-001-02322,,"4621444"
47-103-02092,103-02092,"39.499583337612286","-80.63706965183991",WV,"103",,MILLS,QUAKER STATE CORPORATION,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-103-02092,,"4621445"
47-103-02093,103-02093,"39.517316438387155","-80.6580569855962",WV,"103",,MILLS,QUAKER STATE CORPORATION,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-103-02093,,"4621446"
47-103-02097,103-02097,"39.4912872565716","-80.65611056498342",WV,"103",,DIV. OF NATURAL RESOURCES,D & R ENERGY,,,Not Available,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-103-02097,,"4621447"
47-001-00888,001-00888,"39.22515286786764","-80.03535409219101",WV,"001",,"MITCHELL, LEROY",WV MINERAL GROUP LLC,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00888,,"4621448"
47-001-00897,001-00897,"39.212058540905524","-80.04433155999794",WV,"001",,"CAMPBELL, J. L.",WV MINERAL GROUP LLC,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00897,,"4621449"
47-001-00903,001-00903,"39.08951194727295","-80.00853964714928",WV,"001",,"FLINT, JAUNITA",CNG PRODUCING COMPANY,,,Not Available,Plugged,Vertical,Plugged,https://wellwiki.org/wiki/47-001-00903,,"4621450"
47-001-00907,001-00907,"39.222131771674476","-80.0533918541732",WV,"001",,McBEE,WV MINERAL GROUP LLC,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00907,,"4621451"
47-001-00916,001-00916,"39.1017268103463","-80.02991932730475",WV,"001",,"DAUGHERTY, PAT",BRAXTON OIL AND GAS CORP.,,,Gas Production,Abandoned Well,Vertical,Orphaned / Abandoned / Unverified Plug,https://wellwiki.org/wiki/47-001-00916,,"4621452"
